"","Number","Random","Mean","Round","X.5"
"1",1,0.824654136,0.912327068,0.9,0
"2",2,0.131817911,1.065908955,1.1,0
"3",3,0.288158399,1.6440792,1.6,0
"4",4,0.539742615,2.269871308,2.3,0
"5",5,0.467175993,2.733587996,2.7,0
"6",6,0.944519401,3.4722597,3.5,0
"7",7,0.677262198,3.838631099,3.8,0
"8",8,0.682192225,4.341096113,4.3,0
"9",9,0.275285767,4.637642883,4.6,0
"10",10,0.356323586,5.178161793,5.2,1
"11",11,0.041270346,5.520635173,5.5,1
"12",12,0.74109548,6.37054774,6.4,1
"13",13,0.267837738,6.633918869,6.6,1
"14",14,0.965552517,7.482776258,7.5,1
"15",15,0.416964513,7.708482256,7.7,1
"16",16,0.069698121,8.03484906,8,1
"17",17,0.702499059,8.851249529,8.9,1
"18",18,0.020630691,9.010315346,9,1
"19",19,0.181013242,9.590506621,9.6,1
"20",20,0.918573672,10.45928684,10.5,1
"21",21,0.91420441,10.95710221,11,1
"22",22,0.122911073,11.06145554,11.1,1
"23",23,0.548527885,11.77426394,11.8,1
"24",24,0.094043594,12.0470218,12,1
"25",25,0.531366728,12.76568336,12.8,1
"26",26,0.385610174,13.19280509,13.2,1
"27",27,0.446859171,13.72342959,13.7,1
"28",28,0.110867597,14.0554338,14.1,1
"29",29,0.32951297,14.66475649,14.7,1
"30",30,0.863154005,15.431577,15.4,1
"31",31,0.072365869,15.53618293,15.5,1
"32",32,0.495863178,16.24793159,16.2,1
"33",33,0.745855198,16.8729276,16.9,1
"34",34,0.964662487,17.48233124,17.5,1
"35",35,0.368268944,17.68413447,17.7,1
"36",36,0.174711779,18.08735589,18.1,1
"37",37,0.113564225,18.55678211,18.6,1
"38",38,0.700654613,19.35032731,19.4,1
"39",39,0.471477597,19.7357388,19.7,1
"40",40,0.841608707,20.42080435,20.4,1
"41",41,0.065521236,20.53276062,20.5,1
"42",42,0.701270651,21.35063533,21.4,1
"43",43,0.888113858,21.94405693,21.9,1
"44",44,0.390618019,22.19530901,22.2,1
"45",45,0.235561137,22.61778057,22.6,1
"46",46,0.722074413,23.36103721,23.4,1
"47",47,0.129253825,23.56462691,23.6,1
"48",48,0.112017371,24.05600869,24.1,1
"49",49,0.915328424,24.95766421,25,1
"50",50,0.653660004,25.32683,25.3,1
"51",51,0.605776408,25.8028882,25.8,1
"52",52,0.16780724,26.08390362,26.1,1
"53",53,0.113186523,26.55659326,26.6,1
"54",54,0.136427283,27.06821364,27.1,1
"55",55,0.788613456,27.89430673,27.9,1
"56",56,0.643172353,28.32158618,28.3,1
"57",57,0.722394303,28.86119715,28.9,1
"58",58,0.183314704,29.09165735,29.1,1
"59",59,0.632731695,29.81636585,29.8,1
"60",60,0.345467675,30.17273384,30.2,1
"61",61,0.574178594,30.7870893,30.8,1
"62",62,0.793008463,31.39650423,31.4,1
"63",63,0.062939073,31.53146954,31.5,1
"64",64,0.681603613,32.34080181,32.3,1
"65",65,0.399211007,32.6996055,32.7,1
"66",66,0.906745255,33.45337263,33.5,1
"67",67,0.592338458,33.79616923,33.8,1
"68",68,0.175658081,34.08782904,34.1,1
"69",69,0.08150464,34.54075232,34.5,1
"70",70,0.557489564,35.27874478,35.3,1
"71",71,0.956370075,35.97818504,36,1
"72",72,0.484439301,36.24221965,36.2,1
"73",73,0.260537557,36.63026878,36.6,1
"74",74,0.475012774,37.23750639,37.2,1
"75",75,0.968591226,37.98429561,38,1
"76",76,0.008701398,38.0043507,38,1
"77",77,0.810130983,38.90506549,38.9,1
"78",78,0.738554749,39.36927737,39.4,1
"79",79,0.362225427,39.68111271,39.7,1
"80",80,0.998527165,40.49926358,40.5,1
"81",81,0.654625264,40.82731263,40.8,1
"82",82,0.762376864,41.38118843,41.4,1
"83",83,0.092377835,41.54618892,41.5,1
"84",84,0.531027622,42.26551381,42.3,1
"85",85,0.553657589,42.77682879,42.8,1
"86",86,0.477722426,43.23886121,43.2,1
"87",87,0.731839026,43.86591951,43.9,1
"88",88,0.209398853,44.10469943,44.1,1
"89",89,0.327702078,44.66385104,44.7,1
"90",90,0.751835316,45.37591766,45.4,1
"91",91,0.1254125,45.56270625,45.6,1
"92",92,0.125107251,46.06255363,46.1,1
"93",93,0.270168719,46.63508436,46.6,1
"94",94,0.725349532,47.36267477,47.4,1
"95",95,0.111732508,47.55586625,47.6,1
"96",96,0.579426959,48.28971348,48.3,1
"97",97,0.56649536,48.78324768,48.8,1
"98",98,0.380045289,49.19002264,49.2,1
"99",99,0.186447191,49.5932236,49.6,1
"100",100,0.020653824,50.01032691,50,1
"101",101,NA,NA,NA,0
